Time [ms], Elem0, Elem1, Elem2, Elem3, Elem4, Elem5, Elem6, Elem7, Elem8, Elem9, Elem10, Elem11
20231012170303200 ,-9.24226,-7.31719,-8.25182,-11.2435,-17.6678,-17.804,-19.223,-13.2972,-9.38231,-13.6588,-37.7305,-2451
20231012170303300 ,-2.49227,-1.87805,-2.10493,-2.75931,-4.52489,-4.55461,-4.94795,-3.06263,-2.39978,-3.43096,-9.47322,-616
20231012170303300 ,-1.367274,-0.971205,-1.08044,-1.3446,-2.33439,-2.34851,-2.56743,-1.35642,-1.2358,-1.73101,-4.74722,-310
20231012170303400 ,-0.5231741,-0.289931,-0.310645,-0.281543,-0.691523,-0.694519,-0.771698,-0.0783236,-0.359533,-0.453378,-1.205583,-80
20231012170303400 ,-0.382725,-0.176169,-0.182226,-0.104705,-0.416777,-0.4196299,-0.471297,0.136176,-0.211403,-0.238821,-0.615694,-41
20231012170303500 ,-0.277388,-0.09231,-0.0853736,0.028432,-0.214923,-0.215793,-0.245662,0.302614,-0.099482,-0.078632,-0.247471,-14
20231012170303500 ,-0.251405,-0.0702076,-0.0616986,0.060954,-0.164459,-0.165707,-0.185581,0.348006,-0.065906,-0.026207,-0.136451,-6
20231012170303500 ,-0.247191,-0.0663072,-0.057394,0.066036,-0.155114,-0.156389,-0.174901,0.358687,-0.053397,-0.013586,-0.111753,-1
20231012170303600 ,-0.24368,-0.0637069,-0.0545243,0.070101,-0.147638,-0.1494,-0.161549,0.368477,-0.048789,-0.002906,-0.09845,2
20231012170303600 ,-0.242978,-0.0630568,-0.0530895,0.070101,-0.145769,-0.1494,-0.158879,0.366697,-0.048789,-0.007761,-0.09845,2
20231012170303700 ,-0.242978,-0.0630568,-0.0530895,0.071117,-0.1439,-0.1494,-0.158879,0.366697,-0.04813,-0.010673,-0.100355,1
20231012170303700 ,-0.242978,-0.0630568,-0.0538069,0.07315,-0.1439,-0.1494,-0.145528,0.371147,-0.04418,0.000977,-0.09845,0
20231012170303700 ,-0.242978,-0.0630568,-0.0545243,0.072133,-0.1439,-0.1494,-0.138852,0.373817,-0.046155,0.00389,-0.09845,1
20231012170303800 ,-0.244382,-0.0630568,-0.0545243,0.070101,-0.1439,-0.151729,-0.157544,0.376487,-0.04813,-0.001935,-0.100355,1
